Go	cond_01	cond_02	cond_03	StopSuccess	cond_05	cond_06	cond_07	cond_08	cond_09	cond_10	cond_11	cond_12	cond_13	cond_14	cond_15	cond_16	cond_17	cond_18	cond_19
0.1290757	0.04350071	-0.006667215	-0.002033522	-0.03561554	-0.0001284001	-0.08139808	0.001826735	0.0002684213	0.0008440723	-0.01394504	-0.3242294	-0.07137252	-0.05098377	0.07063676	0.02467337	-0.003513062	0.001524683	-0.0005550988	0.0001520859
0.1652644	-0.0183349	-0.01587937	-0.00945988	-0.03544453	-0.0001699499	-0.07596787	0.006725076	0.000622183	1.704822e-05	0.03686759	0.8367921	-0.01220911	-0.04958194	0.04064089	-0.002435296	-0.01844875	0.001455837	-0.0005652584	0.0002063321
0.0916532	-0.04622648	-0.02559539	-0.008826606	-0.03530633	-0.0002031448	-0.06859586	0.007076549	0.0004149835	-0.0003397669	-0.1621779	-3.668989	-0.1289117	-0.009167163	0.01659406	-0.02756107	-0.08729904	0.001384602	-0.0005759614	0.0002606207
0.07279409	0.01213116	-0.03354082	-0.004155462	-0.035202	-0.0002372263	-0.06244421	0.005387311	5.572027e-05	-0.0003824339	-0.1580853	-3.579648	-0.1534805	-0.07373396	0.004496496	-0.04770871	-0.09706909	0.00131088	-0.0005871616	0.0003149248
0.1160865	0.04270139	-0.0339144	-0.004619095	-0.03513218	-0.0002718059	-0.05843524	0.003399395	-0.0002357638	-0.0002863195	-0.2538527	-5.728148	-0.2239144	-0.1202743	0.009345268	-0.03387877	-0.1027555	0.00123468	-0.0005988136	0.0003692179
0.1579354	0.01422234	-0.04278709	-0.0007906715	-0.03509715	-0.0003064684	-0.05624936	0.003988127	-0.0004019466	0.0006202094	-0.0964834	-2.180562	-0.1132138	-0.04978997	0.00413985	-0.04506914	-0.08536745	0.002155835	-0.0006108721	0.0004235861
0.1438517	-0.05025007	-0.03550367	0.005893501	-0.03509673	-0.0003408171	-0.05105745	0.05826134	0.001120113	0.003651174	-0.02297447	-0.5168239	-0.04837915	0.05972707	-0.02112206	-0.00228499	-0.01790689	0.001074261	0.0003767074	-0.0005222009
0.05689644	-0.1157563	-0.03100815	0.009236816	-0.0351304	-0.0003796642	0.05968789	0.1026818	0.007011413	-0.002886023	-0.1193196	-2.694791	-0.1254096	-0.08472239	-0.03644317	-0.009524832	0.009626433	0.0009898857	0.0003639689	-0.0004680751
-0.08733106	-0.06975253	-0.01703817	0.02330059	-0.03520761	-0.0004265738	0.1539985	0.02650726	-0.004558132	-0.00649679	-0.2025329	-4.570782	-0.2013132	-0.009138865	-0.04482262	0.007212455	0.08423299	-9.735755e-05	0.0003509555	-0.0004140624
-0.08083807	-0.01418155	0.01558465	0.01592099	-0.03533494	-0.0004728429	0.1126314	0.008224794	-0.005854567	0.004033404	-0.1216081	-2.749651	-0.1060808	-0.1155165	-0.052264	0.006919758	0.06690294	-0.0001875257	0.0003377096	-0.000360188
